question,ground_truth
What is the speed of light in vacuum?,"The speed of light is approximately 299,792,458 meters per second."
What is the largest mammal?,The largest mammal is the blue whale.
What programming language is used in TensorFlow?,TensorFlow is primarily written in Python.
What is the square root of 64?,The square root of 64 is 8.
What year was the iPhone first released?,The iPhone was first released in 2007.
What programming language is used in TensorFlow?,TensorFlow is primarily written in Python.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
Is Saturn the closest planet to the Sun?,"No, Mercury is the closest planet to the Sun."
What is the square root of 64?,The square root of 64 is 8.
What is the square root of 64?,The square root of 64 is 8.
What is the longest river in the world?,The Nile is the longest river in the world.
Who wrote 'Pride and Prejudice'?,Jane Austen wrote 'Pride and Prejudice'.
What is the largest animal on Earth?,The blue whale is the largest animal on Earth.
What is the largest animal on Earth?,The blue whale is the largest animal on Earth.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
Does Gemini support multi-modal input?,"Yes, Gemini supports multi-modal input including text and images."
Does Gemini support multi-modal input?,"Yes, Gemini supports multi-modal input including text and images."
How many continents are there?,There are 7 continents.
What is the square root of 64?,The square root of 64 is 8.
Who is the CEO of Tesla?,Elon Musk is the CEO of Tesla.
What company owns Android OS?,Google owns the Android operating system.
Who is the CEO of Tesla?,Elon Musk is the CEO of Tesla.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
Does Gemini support multi-modal input?,"Yes, Gemini supports multi-modal input including text and images."
What is the speed of light in vacuum?,"The speed of light is approximately 299,792,458 meters per second."
How many continents are there?,There are 7 continents.
Is Saturn the closest planet to the Sun?,"No, Mercury is the closest planet to the Sun."
Which gas do plants use for photosynthesis?,Plants use carbon dioxide (CO2) for photosynthesis.
Which gas do plants use for photosynthesis?,Plants use carbon dioxide (CO2) for photosynthesis.
How many continents are there?,There are 7 continents.
Is Saturn the closest planet to the Sun?,"No, Mercury is the closest planet to the Sun."
What is the longest river in the world?,The Nile is the longest river in the world.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
What is the square root of 64?,The square root of 64 is 8.
What is the longest river in the world?,The Nile is the longest river in the world.
What is the largest mammal?,The largest mammal is the blue whale.
What is the largest mammal?,The largest mammal is the blue whale.
